mag,added_reaction_count,added_reactions,flux
MAG017_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG007_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG037_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG054_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG044_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG006_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG016_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG048_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG036_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG028_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG025_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG046_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG018_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG005_gapfilled_noO2,2,rxn00875_c0: Butyryl-CoA_c0 + Acetate_c0 <=> Butyrate_c0 + Acetyl-CoA_c0; EX_cpd00211_e0: Butyrate_e0 <=> ,1.0
MAG013_gapfilled_noO2,4,"EX_cpd15240_e0: hexacosanoate_e0 <=> ; rxn11308_c0: ATP_c0 + 9 NAD_c0 + 9 CoA_c0 + 9 FAD_c0 + ocdca_c0 <=> 9 NADH_c0 + PPi_c0 + AMP_c0 + 9 Acetyl-CoA_c0 + 9 H+_c0 + 9 FADH2_c0; EX_cpd00211_e0: Butyrate_e0 <=> ; rxn06079_c0: H2O_c0 + Phosphatidylglycerol_c0 <=> H+_c0 + Glycerol-3-phosphate_c0 + 1,2-Diacyl-sn-glycerol_c0",1.0
MAG003_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG217_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG033_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG050_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG023_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG043_gapfilled_noO2,3,rxn11308_c0: ATP_c0 + 9 NAD_c0 + 9 CoA_c0 + 9 FAD_c0 + ocdca_c0 <=> 9 NADH_c0 + PPi_c0 + AMP_c0 + 9 Acetyl-CoA_c0 + 9 H+_c0 + 9 FADH2_c0; rxn00872_c0: FAD_c0 + Butyryl-CoA_c0 <=> Crotonyl-CoA_c0 + FADH2_c0; EX_cpd00211_e0: Butyrate_e0 <=> ,1.0
MAG020_gapfilled_noO2,33,"rxn00410_c0: ATP_c0 + NH3_c0 + UTP_c0 <=> ADP_c0 + Phosphate_c0 + CTP_c0 + 2 H+_c0; EX_cpd00205_e0: K+_e0 <=> ; rxn05039_c0: H2O_c0 + 5-Amino-6--5-phosphoribitylaminouracil_c0 <=> Phosphate_c0 + 4--1-D-Ribitylamino-5-aminouracil_c0; rxn03822_c0: beta-BHC_c0 <=> 2 Cl-_c0 + 3,4,5,6-Tetrachlorocyclohexene_c0; rxn03150_c0: H2O_c0 + alpha-Ribazole 5'-phosphate_c0 <=> alpha-Ribazole_c0 + Phosphate_c0; rxn00777_c0: ribose-5-phosphate_c0 <=> D-Ribulose5-phosphate_c0; EX_cpd00028_e0: Heme_e0 <=> ; EX_cpd15238_e0: Hexadecenoyl-CoA_e0 <=> ; rxn00555_c0: L-Glutamine_c0 + D-fructose-6-phosphate_c0 <=> D-Glucosamine phosphate_c0 + L-Glutamate_c0; EX_cpd00058_e0: Cu2+_e0 <=> ; rxn03182_c0: CMP-KDO_c0 + Lipid IV(A)_c0 <=> CMP_c0 + H+_c0 + KDO-lipid IV(A)_c0; EX_cpd00030_e0: Mn2+_e0 <=> ; rxn08791_c0: kdo2-lipid a_e0 <=> kdo2-lipid a_c0; rxn44805_c0: H2O_c0 + CO2_c0 <=> Formate_c0 + UTP_c0 + H+_c0; EX_cpd00063_e0: Ca2+_e0 <=> ; EX_cpd00034_e0: Zn2+_e0 <=> ; rxn09018_c0: Nitrite_c0 + 3 Ubiquinol-8_e0 + H+_c0 <=> 3 Ubiquinone-8_e0 + 2 H2O_c0 + NH3_c0; EX_cpd10516_e0: Fe+3_e0 <=> ; EX_cpd10515_e0: Fe+2_e0 <=> ; rxn03825_c0: 5,6-Dichloro-1,3-cyclohexadiene_c0 <=> Benzene_c0 + 2 Cl-_c0; EX_cpd00211_e0: Butyrate_e0 <=> ; rxn03439_c0: KDO-lipid IV(A)_c0 + CMP-KDO_c0 <=> CMP_c0 + H+_c0 + kdo2-lipid iva_c0; EX_cpd00254_e0: Mg_e0 <=> ; EX_cpd15240_e0: hexacosanoate_e0 <=> ; rxn03823_c0: 3,4,5,6-Tetrachlorocyclohexene_c0 <=> 2 Cl-_c0 + 5,6-Dichloro-1,3-cyclohexadiene_c0; rxn02167_c0: (S)-3-Hydroxybutyryl-CoA_c0 <=> H2O_c0 + Crotonyl-CoA_c0; EX_cpd00305_e0: Thiamin_e0 <=> ; EX_cpd29426_e0: O-Antigens_e0 <=> ; EX_cpd00104_e0: BIOT_e0 <=> ; EX_cpd03587_e0: kdo2-lipid a_e0 <=> ; rxn01332_c0: D-Erythrose4-phosphate_c0 + H2O_c0 + Phosphoenolpyruvate_c0 <=> DAHP_c0 + Phosphate_c0; rxn09847_c0: Hexadecenoyl-CoA_e0 + H2O_c0 + ATP_c0 <=> ADP_c0 + Phosphate_c0 + H+_c0 + Hexadecenoyl-CoA_c0; rxn41785_c0: 2 Oxidized-ferredoxins_c0 + NAD_c0 + 2 Formate_c0 <=> 2 Reduced-ferredoxins_c0 + NADH_c0 + 2 CO2_c0 + H+_c0",1.0
MAG030_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
MAG010_gapfilled_noO2,1,EX_cpd00211_e0: Butyrate_e0 <=> ,0.0
